Mode,Peak_Battery_Current_A,RMS_Battery_Current_A,Std_Battery_Current_A,Battery_Losses_kJ,Battery_Temp_Rise_C,Peak_SC_Power_kW,Energy_Consumed_kWh,Regen_Energy_kWh,DC_Bus_Ripple_V
Battery-Only Baseline,154.85466136064971,29.97100775953642,26.804821893310596,111.91429581276466,0.9719107427530922,0.0,1.9843435176378355,0.36321976104969034,1000.935038036
HESS Rule-Based EMS,79.15796651629883,23.289741046508162,18.9459868731734,71.50382163073515,0.6199183764755567,53.87370945542082,1.651230795242599,0.36321976104969034,89.47480005658184
HESS Low-Pass Filter EMS,81.51445257674332,23.566885372397806,19.42499055942133,74.27329563931428,0.6445094414145593,58.58095413968411,1.7487313673248697,0.36321976104969034,116.65548490964534
